UID,Versuchsjahr,ParzNrFeld,Probe,Datum,LAP,NAG,GLS,MUP,MUX,Comments,NH4,NO3,S,Plot_Label,WiederholungNr,Kultur,Verfahren,SaatTag_DOY,SaatTag_Date,Total_N_fert_kg_ha,Total_Ertrag_HP_TS_kg_a,Total_N_Entzug_kg_ha,Total_P_Entzug_kg_ha,Total_OS_Prod_kg_ha,t2,t1,Nmin_Total,Delta_Nmin,Cum_Precip_mm,Cum_GDD_Interval,Cum_GDD_t1,Cum_GDD_t2,N_up_t1,N_up_t2,Interval_N_Entzug_kg_ha,LTE,date,year,plot_nr,treatment,crop,rep,Ntot,delta_nmin,yield,yield_type,yield_unit
2025_15,2025,15,A,2025-08-07,0,5.5519,14.1056,34.0533,2.1764,NA,3.02,3.06,NA,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-08-07,2025-07-10,6.08,1.04,162.4,337.8,763,1100.8,83.86104214763526,153.33179639366625,69.47075424603099,DEMO,2025-08-07,2025,15,NPK,NA,A,6.08,1.04,NA,total_hp_ts,kg/a
2025_15,2025,15,A,2025-09-11,0,24.9364,47.0381,79.4154,17.5863,NA,0.33,0.16,NA,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-09-11,2025-08-07,0.49,-5.59,173.4,451.6,1100.8,1552.4,153.33179639366625,155.59888813542997,2.2670917417637213,DEMO,2025-09-11,2025,15,NPK,NA,A,0.49,-5.59,NA,total_hp_ts,kg/a
2025_15,2025,15,B,2025-05-15,0,3.7065,12.4486,32.482,1.8045,NA,0.24,2.14,2.41,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-05-15,2025-05-09,2.38,NA,1.9,45.2,0,45.2,0.019201322303888303,0.03302584016775025,0.013824517863861949,DEMO,2025-05-15,2025,15,NPK,NA,B,2.38,NA,NA,total_hp_ts,kg/a
2025_15,2025,15,B,2025-06-12,0,5.3582,21.9963,42.4333,2.5302,NA,0.13,2.32,NA,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-06-12,2025-05-15,2.4499999999999997,0.06999999999999984,130.6,267.7,45.2,312.90000000000003,0.03302584016775025,0.816187113285358,0.7831612731176077,DEMO,2025-06-12,2025,15,NPK,NA,B,2.4499999999999997,0.06999999999999984,NA,total_hp_ts,kg/a
2025_15,2025,15,B,2025-07-10,0,3.2289,15.1471,56.9261,2.3049,NA,0.65,2.54,NA,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-07-10,2025-06-12,3.19,0.7400000000000002,64.3,450.1,312.90000000000003,763,0.816187113285358,83.86104214763526,83.04485503434991,DEMO,2025-07-10,2025,15,NPK,NA,B,3.19,0.7400000000000002,NA,total_hp_ts,kg/a
2025_15,2025,15,B,2025-08-07,0,3.6308,17.6209,43.8086,2.0594,NA,0.1,0.81,NA,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-08-07,2025-07-10,0.91,-2.28,162.4,337.8,763,1100.8,83.86104214763526,153.33179639366625,69.47075424603099,DEMO,2025-08-07,2025,15,NPK,NA,B,0.91,-2.28,NA,total_hp_ts,kg/a
2025_15,2025,15,B,2025-09-11,0,9.2324,37.1908,74.7561,17.2861,NA,0.07,0.2,NA,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-09-11,2025-08-07,0.27,-0.64,173.4,451.6,1100.8,1552.4,153.33179639366625,155.59888813542997,2.2670917417637213,DEMO,2025-09-11,2025,15,NPK,NA,B,0.27,-0.64,NA,total_hp_ts,kg/a
2025_16,2025,16,A,2025-05-15,0,5.955,16.3975,47.0206,2.8561,Well C4_MUP is contaminated.,0.15,2.03,0.38,NA,NA,NA,"R,gülle",129.66666666666666,2025-05-09,NA,NA,163.12428301927574,NA,NA,2025-05-15,2025-05-09,2.1799999999999997,NA,1.9,45.2,0,45.2,0.020128651736221588,0.03462082582188345,0.014492174085661863,DEMO,2025-05-15,2025,16,"R,gülle",NA,A,2.1799999999999997,NA,NA,total_hp_ts,kg/a
2025_16,2025,16,A,2025-06-12,0,5.4844,14.8629,38.3039,4.0267,NA,0.02,1.02,NA,NA,NA,NA,"R,gülle",129.66666666666666,2025-05-09,NA,NA,163.12428301927574,NA,NA,2025-06-12,2025-05-15,1.04,-1.1399999999999997,130.6,267.7,45.2,312.90000000000003,0.03462082582188345,0.8556049367280376,0.8209841109061542,DEMO,2025-06-12,2025,16,"R,gülle",NA,A,1.04,-1.1399999999999997,NA,total_hp_ts,kg/a
2025_16,2025,16,A,2025-07-10,2.0015,6.9435,10.1965,59.7771,7.042,NA,0.04,1.21,NA,NA,NA,NA,"R,gülle",129.66666666666666,2025-05-09,NA,NA,163.12428301927574,NA,NA,2025-07-10,2025-06-12,1.25,0.20999999999999996,64.3,450.1,312.90000000000003,763,0.8556049367280376,87.91111804235094,87.0555131056229,DEMO,2025-07-10,2025,16,"R,gülle",NA,A,1.25,0.20999999999999996,NA,total_hp_ts,kg/a
2025_16,2025,16,A,2025-08-07,0,4.8207,17.9159,40.9297,8.0323,NA,0,0.61,NA,NA,NA,NA,"R,gülle",129.66666666666666,2025-05-09,NA,NA,163.12428301927574,NA,NA,2025-08-07,2025-07-10,0.61,-0.64,162.4,337.8,763,1100.8,87.91111804235094,160.7369680510155,72.82585000866457,DEMO,2025-08-07,2025,16,"R,gülle",NA,A,0.61,-0.64,NA,total_hp_ts,kg/a
2025_16,2025,16,A,2025-09-11,8.1629,3.491,22.4309,48.4215,10.6022,NA,0.29,0.55,NA,NA,NA,NA,"R,gülle",129.66666666666666,2025-05-09,NA,NA,163.12428301927574,NA,NA,2025-09-11,2025-08-07,0.8400000000000001,0.2300000000000001,173.4,451.6,1100.8,1552.4,160.7369680510155,163.11354917401377,2.3765811229982603,DEMO,2025-09-11,2025,16,"R,gülle",NA,A,0.8400000000000001,0.2300000000000001,NA,total_hp_ts,kg/a
2025_16,2025,16,B,2025-05-15,0,4.3641,10.7008,29.0198,3.1597,NA,0.13,1.74,0.4,NA,NA,NA,"R,gülle",129.66666666666666,2025-05-09,NA,NA,163.12428301927574,NA,NA,2025-05-15,2025-05-09,1.87,NA,1.9,45.2,0,45.2,0.020128651736221588,0.03462082582188345,0.014492174085661863,DEMO,2025-05-15,2025,16,"R,gülle",NA,B,1.87,NA,NA,total_hp_ts,kg/a
