BOB,ID,Site,Crop,Year,PLZ,Date,Treatment,Depth,Rep,LAP,NAG,GLS,MUP,MUX,date,year,plot_nr,crop,treatment,depth,rep,NH4,NO3,Ntot,yield,yield_type,yield_unit,LTE
BOB_05,704SM258472T2null30,704,SM,25,8472,T2,null,30,NA,74.533,7.897,268.274,515.401,49.646,T2,25,704,SM,null,30,NA,0.1,18.9,143.5,NA,NA,NA,Fields25
BOB_05,704SM258472T2ueblich60,704,SM,25,8472,T2,ueblich,60,NA,120.629,31.548,145.338,42.451,NA,T2,25,704,SM,ueblich,60,NA,0.5,18.2,265.2,182.3,silo,dt/ha,Fields25
BOB_06,704SM258472T2empfohlen30,704,SM,25,8472,T2,empfohlen,30,NA,78.247,63.714,442.702,641.113,71.366,T2,25,704,SM,empfohlen,30,NA,0,24.6,159.6,NA,NA,NA,Fields25
BOB_06,704SM258472T2ueblich30,704,SM,25,8472,T2,ueblich,30,NA,NA,50.452,261.396,597.063,44.769,T2,25,704,SM,ueblich,30,NA,0.6,41.9,265.2,182.3,silo,dt/ha,Fields25
BOB_09,704SM258472T2empfohlen60,704,SM,25,8472,T2,empfohlen,60,NA,111.952,51.678,162.451,370.437,117.099,T2,25,704,SM,empfohlen,60,NA,0.1,12.6,159.6,NA,NA,NA,Fields25
BOB_09,704SM258472T2null60,704,SM,25,8472,T2,null,60,NA,81.166,37.618,115.676,614.691,34.691,T2,25,704,SM,null,60,NA,0.3,11.9,143.5,NA,NA,NA,Fields25
BOB_05,704SM258472T3empfohlen60,704,SM,25,8472,T3,empfohlen,60,NA,NA,24.072,79.634,630.161,20.827,T3,25,704,SM,empfohlen,60,NA,0.3,5.7,62.2,NA,NA,NA,Fields25
BOB_05,704SM258472T3ueblich60,704,SM,25,8472,T3,ueblich,60,NA,NA,26.068,74.736,512.245,17.251,T3,25,704,SM,ueblich,60,NA,0.4,8.3,113.3,182.3,silo,dt/ha,Fields25
BOB_06,704SM258472T3empfohlen30,704,SM,25,8472,T3,empfohlen,30,NA,NA,38.368,251.017,609.202,32.195,T3,25,704,SM,empfohlen,30,NA,0.3,11.3,62.2,NA,NA,NA,Fields25
BOB_06,704SM258472T3ueblich30,704,SM,25,8472,T3,ueblich,30,NA,81.765,47.582,288.685,709.455,77.328,T3,25,704,SM,ueblich,30,NA,0.2,16.9,113.3,182.3,silo,dt/ha,Fields25
