project_sample_id;LEU (pmol min-1);GLA (pmol min-1);GLS  (pmol min-1);PHO (pmol min-1);XYL (pmol min-1);
BOB_06-707SM256034T1hofduenger60cm;110.267;<DL;<DL;<DL;15.094;
BOB_06-707SM256034T1null60cm;174.308;28.995;30.208;332.754;20.217;
BOB_06-707SM256034T1ueblich60cm;137.994;35.887;31.574;283.666;15.486;
BOB_09-707SM256034T1null30cm;210.999;49.783;149.182;505.851;47.261;
BOB_09-707SM256034T1ueblich30cm;254.598;56.296;194.914;42.346;34.358;
BOB_09-707SM256034T1ueblich60cm;188.664;39.119;53.646;363.432;29.651;
BOB_05-707SM259469T2hofduenger30cm;<DL;37.843;134.666;287.533;26.091;
BOB_05-707SM259469T2ueblich30cm;175.135;52.943;215.965;544.827;41.477;
BOB_05-707SM259469T2ueblich60cm;145.415;20.671;41.462;29.299;22.687;
BOB_06-707SM259469T2empfohlen30cm;104.839;57.941;248.686;532.135;41.128;
BOB_06-707SM259469T2hofduenger60cm;134.297;<DL;2.806;180.513;24.056;
BOB_06-707SM259469T2null60cm;192.961;28.427;57.143;274.691;31.024;
BOB_09-707SM259469T2empfohlen60cm;121.555;<DL;31.594;246.619;17.463;
BOB_09-707SM259469T2null30cm;256.323;49.817;199.144;653.379;30.733;
BOB_05-707SM259469T2.5empfohlen30cm;220.768;66.741;216.112;661.188;42.075;
BOB_05-707SM259469T2.5null60cm;124.753;<DL;20.561;188.048;15.855;
BOB_06-707SM259469T2.5empfohlen60cm;162.041;24.291;26.092;305.713;15.672;
BOB_06-707SM259469T2.5ueblich30cm;215.698;83.399;229.687;728.736;59.175;
BOB_09-707SM259469T2.5null30cm;186.828;84.936;145.195;622.218;30.066;
BOB_09-707SM259469T2.5ueblich60cm;125.289;22.585;22.783;297.507;18.187;
BOB_05-707SM259469T3null60cm;<DL;26.316;61.343;<DL;1.717;
BOB_05-707SM259469T3ueblich30cm;143.722;41.257;114.449;578.285;30.434;
BOB_06-707SM259469T3empfohlen60cm;161.424;4.655;35.065;<DL;24.589;
BOB_06-707SM259469T3null30cm;102.279;46.129;150.156;471.206;37.162;
BOB_09-707SM259469T3empfohlen30cm;144.158;48.116;107.269;164.369;30.705;
BOB_09-707SM259469T3ueblich60cm;102.916;28.506;27.225;97.557;23.286;
BOB_05- 708SM256034T1empfohlen60cm;<DL;74.695;27.145;623.739;46.045;
BOB_05-708SM256034T1ueblich60cm;<DL;50.523;180.562;468.111;33.511;
BOB_06-708SM256034T1empfohlen30cm;<DL;159.901;42.271;980.779;85.199;
BOB_06-708SM256034T1null30cm;<DL;105.709;238.496;786.388;4.827;
BOB_09-708SM256034T1null60cm;<DL;75.471;218.228;773.458;49.747;
BOB_09-708SM256034T1ueblich30cm;<DL;92.278;357.605;1.080.219;46.953;
BOB_05-708SM256034T2empfohlen60cm;<DL;136.937;389.363;77.508;61.231;
BOB_05-708SM256034T2null30cm;<DL;143.754;446.423;1.309.512;64.926;
BOB_06- 708SM256034T2ueblich60cm;<DL;112.586;301.727;836.061;36.525;
BOB_06-708SM256034T2null60cm;<DL;45.598;227.273;550.134;43.675;
BOB_09- 708SM256034T2empfohlen30cm;82.504;21.993;630.536;1.353.476;140.816;
BOB_09-708SM256034T2ueblich30cm;<DL;150.903;401.766;1.329.834;75.193;
BOB_05-708SM256034T3null30cm;<DL;97.153;429.199;1.102.961;107.739;
BOB_05-708SM256034T3ueblich30cm;91.104;91.246;41.676;1.075.544;48.507;
BOB_06-708SM256034T3empfohlen30cm;<DL;88.163;345.269;1.102.674;30.479;
BOB_06-708SM256034T3null60cm;<DL;68.753;252.973;757.939;<DL;
BOB_09-708SM256034T3empfohlen60cm;<DL;39.032;264.051;314.041;<DL;
BOB_09-708SM256034T3ueblich60cm;<DL;90.738;27.302;44.284;54.925;
BOB_05-709SM255706T1null30cm;<DL;102.163;321.256;739.693;50.238;
BOB_05-709SM255706T1null60cm;<DL;3.064;75.262;237.539;2.153;
BOB_06-709SM255706T1empfohlen30cm;<DL;94.893;30.098;627.776;42.355;
BOB_06-709SM255706T1empfohlen60cm;<DL;49.844;87.637;24.625;33.686;
BOB_09-709SM255706T1ueblich30cm;<DL;130.552;376.639;86.511;59.084;
BOB_09-709SM255706T1ueblich60cm;<DL;5.028;115.572;499.393;36.474;
BOB_05-709SM255706T2empfohlen30cm;8.949;174.279;53.877;927.086;86.662;
BOB_05-709SM255706T2ueblich30cm;<DL;111.508;403.296;851.629;Mai 22;
BOB_06-709SM255706T2empfohlen60cm;<DL;109.079;435.368;828.156;6.967;
BOB_06-709SM255706T2null60cm;151.652;82.405;202.812;582.362;46.813;
BOB_09-709SM255706T2null30cm;101.089;108.619;430.963;794.039;77.734;
BOB_09-709SM255706T2ueblich60cm;<DL;100.663;306.826;646.327;48.617;
BOB_05-709SM255706T3empfohlen60cm;<DL;11.347;167.613;388.791;84.061;
BOB_05-709SM255706T3ueblich60cm;<DL;28.868;11.922;615.253;36.032;
BOB_06-709SM255706T3null30cm;137.395;88.549;363.483;775.181;54.442;
BOB_06-709SM255706T3ueblich30cm;<DL;82.843;233.383;898.499;79.343;
BOB_09-709SM255706T3empfohlen30cm;inv Samp;inv Samp;inv Samp;inv Samp;inv Samp;
BOB_09-709SM255706T3null60cm;114.091;65.266;11.209;563.811;59.378;
BOB_05-709SM255706T3empfohlen60cm;<DL;11.347;167.613;388.791;84.061;
BOB_05-709SM255706T3ueblich60cm;<DL;28.868;11.922;615.253;36.032;
BOB_06-709SM255706T3null30cm;137.395;88.549;363.483;775.181;54.442;
BOB_06-709SM255706T3ueblich30cm;<DL;82.843;233.383;898.499;79.343;
BOB_09-709SM255706T3empfohlen30cm;inv Samp;inv Samp;inv Samp;inv Samp;inv Samp;
BOB_09-709SM255706T3null60cm;114.091;65.266;11.209;563.811;59.378;
BOB_05-711SM258507T2empfohlen30cm;<DL;45.337;169.684;667.689;47.324;
BOB_05-711SM258507T2null60cm;<DL;36.318;105.924;39.613;23.043;
BOB_06-711SM258507T2empfohlen60cm;<DL;33.966;142.739;502.758;22.996;
BOB_06-711SM258507T2ueblich30cm;<DL;55.001;166.997;407.138;3.734;
BOB_09-711SM258507T2null30cm;<DL;56.425;242.745;691.779;38.886;
BOB_09-711SM258507T2ueblich60cm;<DL;39.886;149.558;363.981;31.967;
BOB_05-711SM258507T3null30cm;<DL;30.476;165.343;514.198;43.936;
BOB_05-711SM258507T3ueblich30cm;<DL;30.081;140.737;48.524;25.164;
BOB_06-711SM258507T3empfohlen60cm;<DL;4.584;7.372;418.162;20.274;
BOB_06-711SM258507T3null60cm;<DL;27.165;47.094;35.818;23.117;
BOB_09-711SM258507T3empfohlen30cm;<DL;38.875;234.377;814.251;79.355;
BOB_09-711SM258507T3ueblich60cm;<DL;37.067;8.429;596.152;18.148;
BOB_05-712KM251580T1null30cm;<DL;144.743;383.931;595.569;49.058;
BOB_05-712KM251580T1ueblich30cm;<DL;73.413;466.922;854.376;42.898;
BOB_06-712KM251580T1ueblich60cm;<DL;136.047;412.838;863.682;55.126;
BOB_09-712KM251580T1null60cm;<DL;88.751;37.323;806.509;42.397;
BOB_05-712KM251580T2null30cm;<DL;<DL;<DL;<DL;<DL;
BOB_05-712KM251580T2ueblich60cm;<DL;<DL;38.958;37.333;12.386;
BOB_06-712KM251580T2empfohlen30cm;<DL;82.936;351.359;605.171;43.994;
BOB_06-712KM251580T2null60cm;<DL;<DL;33.807;196.353;<DL;
BOB_09-712KM251580T2empfohlen60cm;<DL;<DL;55.192;<DL;11.655;
BOB_09-712KM251780T2ueblich30cm;<DL;132.708;428.752;722.631;53.971;
BOB_05-712KM251580T3empfohlen30cm;<DL;117.475;23.561;559.517;24.653;
