Kunde;Projekt;Auftrag;Charge;Probenahme;Pruefplan;Probenummer;Analysedatum;Ton;Schluff;Humus;Kalkvorprobe;Humus;Beurteilung Humus;Skelettgehalt;Skelettgehalt;Humus;Ton;Schluff;Bodenart-Faktor;Beurteilung Bodenart;Nitrat;Ammonium;Probentiefe;Schichtfaktor;Wassergehalt;Nitrat;Ammonium;NMin;NMin pro Schicht;Ton;Schluff;Humus;Kalkvorprobe;Humus;Beurteilung Humus;Skelettgehalt;Skelettgehalt;Humus;Ton;Schluff;Bodenart-Faktor;Beurteilung Bodenart;Nitrat;Ammonium;Probentiefe;Schichtfaktor;Wassergehalt;Nitrat;Ammonium;NMin;NMin pro Schicht;Ton;Schluff;Humus;Kalkvorprobe;Humus;Beurteilung Humus;Skelettgehalt;Skelettgehalt;Humus;Ton;Schluff;Bodenart-Faktor;Beurteilung Bodenart;Nitrat;Ammonium;Probentiefe;Schichtfaktor;Wassergehalt;Nitrat;Ammonium;NMin;NMin pro Schicht;NMin Gesamtgehalt
;;;;;;;;% G/G;% G/G;% G/G;;%;;-;;% G/G;% G/G;% G/G;-;;ppm;ppm;;-;%;ppm;ppm;mg/kg TS;kg N/ha;% G/G;% G/G;% G/G;;%;;-;;% G/G;% G/G;% G/G;-;;ppm;ppm;;-;%;ppm;ppm;mg/kg TS;kg N/ha;% G/G;% G/G;% G/G;;%;;-;;% G/G;% G/G;% G/G;-;;ppm;ppm;;-;%;ppm;ppm;mg/kg TS;kg N/ha;kg N/ha
518834;;120450;713SM251372T1null;10.05.2025;17;12045001;02.06.2025;6;31;16;-;16;humusreich;1;frei / arm;16;6;31;1;lehmiger Sand;8.08;0;0 - 30 cm;3;31.2;47;0;47;141;6;41;16;-;16;humusreich;1;frei / arm;16;6;41;1;lehmiger Sand;6.59;0.46;30 - 60 cm;3.8;52.4;55.4;3.9;59.2;225.1;6;41;16;-;16;humusreich;2;skeletthaltig;16;6;41;1;lehmiger Sand;2.72;0.4;60 - 90 cm;3.8;32.9;16.2;2.4;18.6;70.8;436.9
518834;;120451;711SM258507T1all;12.05.2025;17;12045101;02.06.2025;11;31;3;-;3;schwach humos;1;frei / arm;3;11;31;7;stark lehmiger Sand;2.61;0;0 - 30 cm;3.8;20.8;13.2;0;13.2;49.4;16;31;2;-;2;schwach humos;1;frei / arm;2;16;31;6;sandiger Lehm;0.48;0.03;30 - 60 cm;3.9;13.9;2.2;0.1;2.4;9.2;16;31;1;-;1;humusarm;2;skeletthaltig;1;16;31;6;sandiger Lehm;0.24;0.03;60 - 90 cm;3.2;12.5;1.1;0.1;1.2;3.9;62.5
518834;;120452;712KM251580T1null;15.05.2025;17;12045201;02.06.2025;11;21;2;-;2;schwach humos;1;frei / arm;2;11;21;7;stark lehmiger Sand;2.24;0.13;0 - 30 cm;3.8;16;10.7;0.6;11.3;42.4;16;31;2;-;2;schwach humos;2;skeletthaltig;2;16;31;6;sandiger Lehm;0.87;0.13;30 - 60 cm;3.1;14.2;4;0.6;4.7;14.6;16;31;2;-;2;schwach humos;3;skelettreich;2;16;31;6;sandiger Lehm;0.56;0.11;60 - 90 cm;2.4;15.4;2.7;0.5;3.2;7.7;64.7
518834;;120452;712KM251580T1ueblich;15.05.2025;17;12045202;02.06.2025;11;21;2;-;2;schwach humos;1;frei / arm;2;11;21;7;stark lehmiger Sand;2.47;0.12;0 - 30 cm;3.8;15.3;11.7;0.6;12.2;45.9;11;21;1.5;-;1.5;humusarm;2;skeletthaltig;1.5;11;21;7;stark lehmiger Sand;1.05;0.26;30 - 60 cm;3.1;14.2;4.9;1.2;6.1;19.1;11;21;1.5;-;1.5;humusarm;3;skelettreich;1.5;11;21;7;stark lehmiger Sand;0.69;0.18;60 - 90 cm;2.4;12.8;3.2;0.8;4;9.7;74.7
518834;;120453;709SM255706T1null;15.05.2025;17;12045301;02.06.2025;26;31;1.5;-;1.5;humusarm;1;frei / arm;1.5;26;31;4;Lehm;0.95;0.43;0 - 30 cm;3.8;22.6;4.9;2.2;7.1;26.6;26;31;1.5;-;1.5;humusarm;2;skeletthaltig;1.5;26;31;4;Lehm;0.35;0.05;30 - 60 cm;3.1;20.4;1.8;0.2;2;6.3;26;31;1;-;1;humusarm;2;skeletthaltig;1;26;31;4;Lehm;0.18;0.01;60 - 90 cm;3.2;18.6;0.9;0.1;1;3.1;36
518834;;120453;709SM255706T1ueblich;15.05.2025;17;12045302;02.06.2025;26;31;1.5;-;1.5;humusarm;1;frei / arm;1.5;26;31;4;Lehm;1.28;0.17;0 - 30 cm;3.8;23.6;6.7;0.9;7.6;28.4;26;31;1;-;1;humusarm;2;skeletthaltig;1;26;31;4;Lehm;0.39;0.05;30 - 60 cm;3.1;19.7;2;0.3;2.2;6.9;31;31;1;-;1;humusarm;2;skeletthaltig;1;31;31;12;toniger Lehm;0.12;0.01;60 - 90 cm;3.2;18.6;0.6;0;0.6;1.9;37.3
518834;;120453;709SM255706T1empfohlen;15.05.2025;17;12045303;02.06.2025;26;31;1.5;-;1.5;humusarm;1;frei / arm;1.5;26;31;4;Lehm;0.97;0.11;0 - 30 cm;3.8;21.5;4.9;0.6;5.5;20.6;31;31;1;-;1;humusarm;2;skeletthaltig;1;31;31;12;toniger Lehm;0.29;0;30 - 60 cm;3.1;18.4;1.4;0;1.4;4.5;31;31;1;-;1;humusarm;2;skeletthaltig;1;31;31;12;toniger Lehm;0.09;0.01;60 - 90 cm;3.2;19.4;0.4;0;0.5;1.5;26.6
518834;;120454;714KM251148T1null;15.05.2025;17;12045401;02.06.2025;26;21;2.5;-;2.5;schwach humos;1;frei / arm;2.5;26;21;4;Lehm;2.09;0.05;0 - 30 cm;3.8;18.3;10.2;0.2;10.4;39.1;26;21;2.5;-;2.5;schwach humos;2;skeletthaltig;2.5;26;21;4;Lehm;0.91;0;30 - 60 cm;3.1;14.4;4.2;0;4.2;13.2;26;11;2;-;2;schwach humos;2;skeletthaltig;2;26;11;4;Lehm;0.5;0;60 - 90 cm;3.2;12.4;2.3;0;2.3;7.4;59.7
518834;;120454;714KM251148T1ueblich;15.05.2025;17;12045402;02.06.2025;21;21;3;-;3;schwach humos;1;frei / arm;3;21;21;4;Lehm;3.06;0;0 - 30 cm;3.8;17.1;14.7;0;14.7;55.3;26;21;2.5;-;2.5;schwach humos;2;skeletthaltig;2.5;26;21;4;Lehm;1.42;0;30 - 60 cm;3.1;15.2;6.7;0;6.7;20.9;26;11;2;-;2;schwach humos;2;skeletthaltig;2;26;11;4;Lehm;1.11;0;60 - 90 cm;3.2;13.4;5.1;0;5.1;16.6;92.8
518834;;120454;714KM251148T1empfohlen;15.05.2025;17;12045403;02.06.2025;21;6;3.5;-;3.5;schwach humos;1;frei / arm;3.5;21;6;4;Lehm;4.27;0.05;0 - 30 cm;3.8;16.1;20.3;0.2;20.6;77.2;21;11;3.5;-;3.5;schwach humos;2;skeletthaltig;3.5;21;11;4;Lehm;2.23;0;30 - 60 cm;3.1;14.6;10.4;0;10.5;32.6;26;21;3;-;3;schwach humos;2;skeletthaltig;3;26;21;4;Lehm;1.12;0;60 - 90 cm;3.2;13.9;5.2;0;5.2;16.9;126.7
