id_lysi,date,volume,PN
6,2025-03-25,0.19,2025_PN06
7,2025-03-25,0.01,2025_PN06
8,2025-03-25,0.3,2025_PN06
9,2025-03-25,1.01,2025_PN06
10,2025-03-25,0.0600000000000001,2025_PN06
11,2025-03-25,1,2025_PN06
12,2025-03-25,0.63,2025_PN06
13,2025-03-25,0.78,2025_PN06
14,2025-03-25,0.37,2025_PN06
15,2025-03-25,0.76,2025_PN06
16,2025-03-25,0.38,2025_PN06
17,2025-03-25,0.9,2025_PN06
18,2025-03-25,0.13,2025_PN06
19,2025-03-25,0.78,2025_PN06
20,2025-03-25,0.0700000000000001,2025_PN06
21,2025-03-25,0.93,2025_PN06
22,2025-03-25,0.15,2025_PN06
23,2025-03-25,0.87,2025_PN06
24,2025-03-25,0.47,2025_PN06
25,2025-03-25,0.77,2025_PN06
26,2025-03-25,0.03,2025_PN06
27,2025-03-25,0.91,2025_PN06
28,2025-03-25,0.85,2025_PN06
29,2025-03-25,0.85,2025_PN06
30,2025-03-25,0.96,2025_PN06
31,2025-03-25,0.74,2025_PN06
32,2025-03-25,0.0600000000000001,2025_PN06
1,2025-04-08,1,2025_PN07
2,2025-04-08,0.05,2025_PN07
3,2025-04-08,0,2025_PN07
4,2025-04-08,0.26,2025_PN07
5,2025-04-08,0.15,2025_PN07
6,2025-04-08,0.05,2025_PN07
7,2025-04-08,0,2025_PN07
8,2025-04-08,0.38,2025_PN07
9,2025-04-08,0.65,2025_PN07
10,2025-04-08,0.33,2025_PN07
11,2025-04-08,0.46,2025_PN07
12,2025-04-08,0.85,2025_PN07
13,2025-04-08,0.19,2025_PN07
14,2025-04-08,0.5,2025_PN07
15,2025-04-08,0.13,2025_PN07
16,2025-04-08,0.37,2025_PN07
17,2025-04-08,0.31,2025_PN07
18,2025-04-08,0.23,2025_PN07
19,2025-04-08,0.17,2025_PN07
20,2025-04-08,0.02,2025_PN07
21,2025-04-08,0.34,2025_PN07
22,2025-04-08,0.0900000000000001,2025_PN07
23,2025-04-08,NA,2025_PN07
24,2025-04-08,0.78,2025_PN07
25,2025-04-08,0.23,2025_PN07
26,2025-04-08,0,2025_PN07
27,2025-04-08,NA,2025_PN07
28,2025-04-08,1.45,2025_PN07
29,2025-04-08,0.71,2025_PN07
30,2025-04-08,NA,2025_PN07
31,2025-04-08,NA,2025_PN07
32,2025-04-08,0.01,2025_PN07
1,2025-04-22,0,2025_PN08
2,2025-04-22,0,2025_PN08
3,2025-04-22,0,2025_PN08
4,2025-04-22,0,2025_PN08
5,2025-04-22,0,2025_PN08
6,2025-04-22,0,2025_PN08
7,2025-04-22,0.01,2025_PN08
8,2025-04-22,0,2025_PN08
9,2025-04-22,0,2025_PN08
10,2025-04-22,0,2025_PN08
11,2025-04-22,0.01,2025_PN08
12,2025-04-22,0,2025_PN08
13,2025-04-22,0,2025_PN08
14,2025-04-22,0,2025_PN08
15,2025-04-22,0,2025_PN08
16,2025-04-22,0,2025_PN08
17,2025-04-22,0,2025_PN08
18,2025-04-22,0.01,2025_PN08
19,2025-04-22,0,2025_PN08
20,2025-04-22,0.02,2025_PN08
21,2025-04-22,0,2025_PN08
22,2025-04-22,0.01,2025_PN08
23,2025-04-22,0.01,2025_PN08
24,2025-04-22,0,2025_PN08
25,2025-04-22,0,2025_PN08
26,2025-04-22,0,2025_PN08
27,2025-04-22,0.01,2025_PN08
28,2025-04-22,0,2025_PN08
29,2025-04-22,0.01,2025_PN08
30,2025-04-22,0.02,2025_PN08
31,2025-04-22,0,2025_PN08
32,2025-04-22,0,2025_PN08
1,2025-05-06,NA,2025_PN09
2,2025-05-06,NA,2025_PN09
3,2025-05-06,NA,2025_PN09
4,2025-05-06,NA,2025_PN09
5,2025-05-06,NA,2025_PN09
6,2025-05-06,NA,2025_PN09
7,2025-05-06,NA,2025_PN09
8,2025-05-06,NA,2025_PN09
9,2025-05-06,NA,2025_PN09
