id_lysi,date,N2O_flux,CO2_flux,CH4_flux,r2_N2O,r2_CO2,r2_CH4,chamber_size,nr_bags
7,2025-04-16,-5.6901518444005855e-5,3.8685105592464,-7.32606863059475e-4,0.05654351150975714,0.7581553840748014,0.28695605247389955,small,4
8,2025-04-16,3.5046110724784054e-5,9.078598738652936,-0.00255764357266766,0.1076276162332892,0.9840265560511574,0.867107012725142,small,4
9,2025-04-16,-2.3266763064583e-4,14.135892924868047,-0.00154047753304169,0.54631395211738,0.9813904414626956,0.8639072961534485,small,4
10,2025-04-16,-1.6069143405925514e-4,11.65807837605115,4.557182649087697e-4,0.22363374816887296,0.9160295444798174,0.00994576134968936,small,4
11,2025-04-16,3.0942650811952e-4,16.125695901950902,-0.00227173116264213,0.444267388435052,0.977749376357689,0.963636786361151,small,4
12,2025-04-16,-2.83362851971485e-4,14.07188154427145,-0.00290807849589021,0.7293941666208645,0.9666337570180754,0.8938127365137154,small,4
13,2025-04-16,-1.2585968314044984e-4,16.40211363079955,-0.00177502659431788,0.3516158818073855,0.980861376826926,0.626071144958563,small,4
14,2025-04-16,-9.797291924911584e-5,16.509357353820647,-0.00288323930608898,0.05970143352524344,0.962344661272062,0.9576054473924556,small,4
15,2025-04-16,-3.8477103183481e-4,17.7022224602826,-0.0019963153408123,0.854656382108138,0.76337099784869,0.72525779642894,small,4
16,2025-04-16,1.7160752876867002e-4,7.89507333699867,-3.2143142165350005e-4,0.560821594763271,0.9077296141579724,0.1618480330680731,small,4
17,2025-04-16,7.477655531769924e-5,10.56916990484135,-0.00159835932833318,0.4204409700286275,0.9887464899509664,0.9331032333144804,small,4
18,2025-04-16,-1.7943533601293e-4,3.57291404806617,0.0045850179275898,0.8692624401659934,0.797619627790862,0.7311758638448435,small,4
19,2025-04-16,-4.7212603650154496e-4,25.14608084904545,-0.00158662758629437,0.9304647244645574,0.9819073843567684,0.709801706446639,small,4
20,2025-04-16,-3.7053762415319e-4,14.3428823855628,-0.00188588659962733,0.95650569407636,0.939479273640393,0.9035667521649244,small,4
21,2025-04-16,-3.28684394173865e-4,13.28031605208125,-0.00122795787129435,0.64260094201229645,0.9189199597157148,0.7897629537447914,small,4
22,2025-04-16,5.914271558248e-5,5.50675727272111,-0.00103247966550076,0.336395208496528,0.674401284513213,0.7145467169059629,small,4
23,2025-04-16,-1.14546515758795e-4,5.750999404337614,-0.00500639634972924,0.8350563390672421,0.7583363374949905,0.5684807996675441,small,4
24,2025-04-16,-1.491479787748573e-4,10.738010799907055,-0.0014293732363116,0.3982583481977442,0.6599269799966855,0.5513822420196055,small,4
25,2025-04-16,-1.6365618519565e-4,12.61909124810555,-0.00267956448725332,0.43470216998399747,0.8174114465819384,0.851588917395619,small,4
26,2025-04-16,1.3856221357340007e-5,11.6110551930844,-0.00316298350232068,0.435399288838872,0.988173128955338,0.6245094276376795,small,4
27,2025-04-16,2.2777781470627003e-4,13.35282270824275,-0.00163122835128535,0.552145937580638,0.9928097500975,0.9851455093519024,small,4
28,2025-04-16,-6.073993050343955e-5,4.152525722587965,-7.668803794785349e-4,0.194885297598856,0.7670969327708159,0.603732149932697,small,4
29,2025-04-16,1.58100788792495e-4,14.6941248839245,-0.00120943065435056,0.5867692689242575,0.986325695864528,0.8616092767614315,small,4
30,2025-04-16,-1.8470361919494495e-4,5.50973212258202,-0.00356590482174723,0.620612863756742,0.9313200046888,0.8779668203195055,small,4
31,2025-04-16,7.313833204383999e-4,10.79348338727295,0.00186401239623314,0.7963003509800459,0.919470425878665,0.453849411741841,small,4
32,2025-04-16,-4.30674139662498e-5,8.13775097183007,-0.00158880797768342,0.142277643937846,0.9518970121899724,0.9902444842342156,small,4
1,2025-04-22,-1.60395545750985e-4,4.947955383367685,-0.00231462124796363,0.6293136566224555,0.821191951576171,0.9564316209793464,small,4
2,2025-04-22,-1.227931889289928e-4,8.874686867609444,-0.00192224197796072,0.127118564761146,0.9744092139008944,0.9454538021911904,small,4
3,2025-04-22,-4.88858511262277e-5,23.1034980767737,-0.00294105620364919,0.0172553176783995,0.7294761856764735,0.6458519254137389,small,4
4,2025-04-22,-1.021949089404803e-4,17.86820522143255,-0.0037233987607976,0.3580490017865055,0.9953350670429484,0.9814926630643646,small,4
5,2025-04-22,4.1365380864812e-5,28.088068855283503,-0.00217606137077744,0.07145829504099045,0.951286363435021,0.696383993546195,small,4
6,2025-04-22,1.42440703304655e-4,8.929893249359417,-0.00162287878194835,0.1451745490042565,0.878232184233015,0.557944585975867,small,4
7,2025-04-22,-5.536123187507051e-4,33.10175572003205,-0.00262867526422545,0.7847545187473165,0.9814882510048724,0.715439244496543,small,4
8,2025-04-22,-0.00108620418407982,17.216606447866752,-0.0043334373119465,0.9436515324830916,0.974007397562034,0.8660188380358825,small,4
9,2025-04-22,-1.6922709534307e-4,30.3144291751072,-0.00215832169475494,0.48035550382162895,0.9832688632421104,0.848251222516941,small,4
10,2025-04-22,-6.9341925532867e-4,27.87585606562385,-0.00358214875870497,0.715925667664174,0.869796119208369,0.6158142636850965,small,4
11,2025-04-22,5.416115565656596e-6,25.060026860563,-0.00204894944438433,0.0419635844446736,0.9948911151629564,0.9879261676634254,small,4
12,2025-04-22,-4.1052918874408e-4,38.4862756209474,-0.00554636076991964,0.758285270811304,0.999855282516072,0.989265103933207,small,4
13,2025-04-22,-4.244698889834801e-6,46.94636545174155,-0.00386547296208599,0.00571016937701085,0.8736561282899029,0.768933097924078,small,4
14,2025-04-22,-5.7197748261296e-4,26.621225764044247,-0.00427088129524818,0.670669893324312,0.957164063864332,0.9993949616485144,small,4
15,2025-04-22,-6.5378753794374e-4,50.6921632401677,-0.00722135295077364,0.978324177807506,0.997613050779392,0.825278704935234,small,4
16,2025-04-22,-1.1045056650178e-4,22.3673761638046,-0.00314609552193325,0.0533899287467578,0.97282345555175,0.885878303917534,small,4
17,2025-04-22,-4.0444413639947e-4,41.396732631502104,-0.00354874891461674,0.7013852027583576,0.9971729336856724,0.982664399942788,small,4
18,2025-04-22,2.5312988772565497e-4,6.008665904943806,-0.00197586742530474,0.6785345959628606,0.508598573314355,0.4956209033431352,small,4
19,2025-04-22,-3.88740731174365e-4,48.350943422882054,-0.00346121442062775,0.263607001385182,0.9985952897090912,0.973959111215986,small,4
20,2025-04-22,-3.4850347404628e-4,23.97693257291575,-0.00208159788748639,0.9733129928499744,0.9856079956956608,0.9240704600998392,small,4
21,2025-04-22,-3.5836783592613794e-4,42.2038315708783,-0.00450050644036856,0.3425612146218112,0.9527331874091604,0.7839856312371536,small,4
22,2025-04-22,-2.1214103631801e-4,15.078904335411847,-0.00197965513527258,0.484460849418637,0.997174766188284,0.936417062810071,small,4
23,2025-04-22,8.898166337225995e-5,29.8963517790718,-0.00479711894626773,0.29872831998319366,0.9577105132959703,0.894767440611577,small,4
24,2025-04-22,-3.6021047136798503e-4,27.0046070982408,-0.00244363933501706,0.4997991209773255,0.9633673105349044,0.7113947209097989,small,4
25,2025-04-22,-7.4328173356965e-4,66.0714644548585,-0.00603927245170552,0.995910287029353,0.99620919079788,0.953632619893096,small,4
26,2025-04-22,-1.9778199249061e-4,23.2259534028006,-0.00296990429744193,0.29024310220672156,0.940864710118538,0.5569998201678705,small,4
27,2025-04-22,-5.5542021044285e-4,52.42043113317615,-0.00516605105319125,0.88215049316838,0.997538618811734,0.985326067198619,small,4
28,2025-04-22,-5.1647036285175e-4,22.1277707972236,-0.00370117989411715,0.882042235520943,0.999817274417669,0.977565771888517,small,4
29,2025-04-22,-5.754275599205399e-4,39.8461178027778,-0.00414348435095143,0.6868021451349771,0.9990478202927036,0.9978103267356132,small,4
30,2025-04-22,-8.36782578886944e-5,30.69719636588205,-0.00532024232450511,0.568882780618466,0.9863324731308724,0.928245316091578,small,4
31,2025-04-22,-2.832571473243712e-5,32.01587996867495,-0.0013743383907716,0.02478601944673995,0.9926435926406436,0.972484487288095,small,4
32,2025-04-22,-1.76406832400215e-4,13.64395263422565,-0.00168835403398506,0.317692789133428,0.98417705952987,0.523574220930105,small,4
1,2025-04-23,4.99257456384357e-5,18.9817861113675,-0.00358265990101989,0.01042176819718645,0.310042066564694,0.36162244867937,small,4
2,2025-04-23,-6.67386598426721e-7,7.11000956530308,-0.00161216946690236,6.84314149601912e-6,0.931477836799579,0.871712606332818,small,4
3,2025-04-23,-1.6133831758668e-4,24.2362709880787,-0.00319418162202383,0.9314825967053696,0.625577871306035,0.7281292611242756,small,4
4,2025-04-23,1.09583456223345e-4,-0.1252252717812385,-2.28200723708125e-4,0.8842686329383931,0.0381155829492298,0.0629118188170031,small,4
5,2025-04-23,4.036618947812225e-5,18.1532570635102,-0.00267405202498151,0.04724187482893975,0.923393138444428,0.9245654259685184,small,4
6,2025-04-23,-1.9262675949825e-4,15.45876632409525,-0.00220845912582528,0.2597058727389405,0.938685621494091,0.8185657790290215,small,4
7,2025-04-23,3.42309357617202e-5,22.6291573182,-0.00168864728518746,0.0752883524414204,0.956914008425313,0.84619889688279,small,4
8,2025-04-23,-9.892868333279676e-5,20.5231140862777,-0.00369539245359982,0.23678428821610448,0.9319381113986404,0.8704738824185375,small,4
9,2025-04-23,-4.5017854345166006e-4,29.25828068865535,-0.00245969342160229,0.4630587749952615,0.9775781004621436,0.928303712037865,small,4
10,2025-04-23,-3.42138768117875e-4,25.67239060128795,-0.00122481319996156,0.6507597179426025,0.7048212322628395,0.41006310884198977,small,4
11,2025-04-23,1.8749695386506e-4,18.062258300691,-0.00137583591816112,0.6157635128208154,0.9965681809889404,0.989685546481005,small,4
12,2025-04-23,-2.90270931402829e-5,26.5210449628423,-0.00266165001611514,0.0115550701248175,0.998495435281213,0.982255414430412,small,4
13,2025-04-23,-4.96837751082165e-4,49.5690119243223,-0.00436699616023858,0.655722349698881,0.86197067158935,0.7613668652976535,small,4
14,2025-04-23,-1.619090302208758e-4,20.18935737293855,-0.00205624538696174,0.3861384974936395,0.986799294427448,0.790668307555908,small,4
15,2025-04-23,-3.3870950217998e-4,34.8947163010752,-0.00602301961445891,0.396160334569831,0.944028645604944,0.991602513865018,small,4
16,2025-04-23,-4.08925071814241e-5,19.2516475807101,-0.0019819848708001,0.0419788909834936,0.929080529565635,0.978456378104745,small,4
17,2025-04-23,-3.6129810240129e-4,23.9122590534604,-0.0019866674188418,0.96949139274616,0.9159997663156616,0.8690909726989795,small,4
18,2025-04-23,1.27506564570465e-4,2.65109119932014,1.69346662418905e-4,0.1501372069696708,0.4821544433418061,0.6903886756483745,small,4
19,2025-04-23,-4.5314468916244504e-4,45.037049780162846,-0.00527242317996816,0.427239214327785,0.9956549690645764,0.9815779477834186,small,4
20,2025-04-23,-1.7834721988382998e-4,17.210120341322998,-0.00160339007008391,0.556352929625304,0.962481423351198,0.8861384554994305,small,4
21,2025-04-23,-5.80440876944485e-4,43.22820730580224,-0.00421912907117194,0.502962354638114,0.9960470365869304,0.9819936373463743,small,4
