UID,Versuchsjahr,ParzNrFeld,Probe,Datum,LAP,NAG,GLS,MUP,MUX,Comments,NH4,NO3,S,Plot_Label,WiederholungNr,Kultur,Verfahren,Total_Ertrag_HP_TS_kg_a,Total_N_Entzug_kg_ha,Total_P_Entzug_kg_ha,Total_OS_Prod_kg_ha
2025_9,2025,9,B,2025-05-15,0,1.9081,10.5655,22.7724,2.8255,NA,0.12,1.82,4.67,NA,NA,NA,PK,NA,NA,NA,NA
2025_12,2025,12,B,2025-07-10,0,4.9244,15.7854,40.9088,2.2088,NA,0.05,0.53,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_13,2025,13,A,2025-08-07,0,7.4247,13.1707,44.7391,2.4673,NA,0,0.59,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_13,2025,13,A,2025-05-15,0,4.2953,16.9161,57.8241,3.0476,NA,0.16,1.72,0.29,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_13,2025,13,B,2025-09-11,5.6556,9.5001,31.5641,89.8099,15.4049,NA,0.3,0.38,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_13,2025,13,B,2025-08-07,0,6.8318,21.2951,75.4369,6.93,NA,0.02,0.26,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_13,2025,13,B,2025-07-10,0,2.0654,8.5395,50.9128,1.9996,NA,0,1.13,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_13,2025,13,B,2025-06-12,1.5324,4.4244,20.1468,51.3947,6.0289,Well D2_NAG is contaminated.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_15,2025,15,A,2025-09-11,0,24.9364,47.0381,79.4154,17.5863,NA,0.33,0.16,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_15,2025,15,A,2025-06-12,0,7.9393,25.6497,34.0215,2.8416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_15,2025,15,A,2025-05-15,0,4.2676,24.1764,30.1728,2.4477,NA,0.17,1.53,4.03,NA,NA,NA,NPK,NA,NA,NA,NA
2025_16,2025,16,A,2025-07-10,2.0015,6.9435,10.1965,59.7771,7.042,NA,0.04,1.21,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_16,2025,16,B,2025-08-07,0,4.6488,19.8356,42.3245,4.1699,NA,0.02,0.5,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_1,2025,1,A,2025-09-11,30.3163,8.9312,30.4617,68.6878,14.3401,NA,0.09,0.4,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_1,2025,1,A,2025-07-10,12.6199,5.9156,14.7776,50.1296,6.7816,NA,0.06,1.31,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_1,2025,1,A,2025-05-15,3.5939,3.7058,16.5339,60.4118,1.9011,NA,0.13,1.45,3.52,NA,NA,NA,PK,NA,NA,NA,NA
2025_1,2025,1,B,2025-07-10,0,2.7732,9.469,46.7766,1.528,NA,0.01,1.98,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_1,2025,1,B,2025-05-15,7.1596,5.1496,20.2507,66.4168,3.3167,NA,0.15,1.82,1.61,NA,NA,NA,PK,NA,NA,NA,NA
2025_4,2025,4,A,2025-09-11,16.1973,5.746,19.7179,69.0209,12.4721,NA,0.03,1,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_4,2025,4,B,2025-08-07,0,6.1433,25.7932,65.5943,3.267,NA,0.01,0.68,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_4,2025,4,B,2025-06-12,0,1.8201,14.9928,32.9235,1.8718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_5,2025,5,A,2025-09-11,5.126,5.8185,24.1573,82.3028,12.752,NA,0.25,0.87,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_5,2025,5,A,2025-08-07,0,6.5952,22.3378,56.0922,5.3221,NA,0,2.12,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_5,2025,5,A,2025-06-12,4.7605,4.4506,19.4757,46.5555,4.3013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_5,2025,5,A,2025-05-15,0,2.8324,16.3275,14.4228,1.1805,NA,0.15,2.66,0.47,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_5,2025,5,B,2025-08-07,0,4.8759,22.7945,63.0152,3.8175,Well D2_NAG is contaminated.,0.02,0.39,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_7,2025,7,B,2025-07-10,0,3.9534,7.3817,48.425,2.367,NA,0.77,4.37,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_8,2025,8,A,2025-09-11,5.8971,7.3715,31.8903,87.7641,18.0543,NA,0.43,0.44,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_8,2025,8,B,2025-06-12,0,5.3639,17.7669,50.3426,2.7211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_9,2025,9,A,2025-06-12,11.1377,5.5974,13.9819,53.758,4.5195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_9,2025,9,A,2025-05-15,5.8229,4.3667,14.8081,63.0637,3.9241,NA,0.12,1.34,1.67,NA,NA,NA,PK,NA,NA,NA,NA
2025_1,2025,1,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.03,1.35,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_1,2025,1,B,2025-06-11,NA,NA,NA,NA,NA,NA,0.01,1.37,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_12,2025,12,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.05,1.46,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_12,2025,12,B,2025-06-11,NA,NA,NA,NA,NA,NA,0.01,1.05,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_13,2025,13,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.05,1.12,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_13,2025,13,B,2025-06-11,NA,NA,NA,NA,NA,NA,0,1.45,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_15,2025,15,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.18,2.59,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_15,2025,15,B,2025-06-11,NA,NA,NA,NA,NA,NA,0.13,2.32,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_16,2025,16,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.02,1.02,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_16,2025,16,B,2025-06-11,NA,NA,NA,NA,NA,NA,0,0.91,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_4,2025,4,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.03,1.99,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_4,2025,4,B,2025-06-11,NA,NA,NA,NA,NA,NA,0.03,1.87,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_5,2025,5,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.04,2.19,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_5,2025,5,B,2025-06-11,NA,NA,NA,NA,NA,NA,0.01,1.59,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_7,2025,7,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.18,3.48,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_7,2025,7,B,2025-06-11,NA,NA,NA,NA,NA,NA,0.07,2.92,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_8,2025,8,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.04,3.22,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_8,2025,8,B,2025-06-11,NA,NA,NA,NA,NA,NA,0.03,3.39,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_9,2025,9,A,2025-06-11,NA,NA,NA,NA,NA,NA,0.02,0.66,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_9,2025,9,B,2025-06-11,NA,NA,NA,NA,NA,NA,0.01,0.93,NA,NA,NA,NA,PK,NA,NA,NA,NA
